"","Common.Name","Specific.Epithet","Guild","Foraging.Type","Prey","Remarks"
"186","Pond Heron","Ardeola grayii","Carnivore","Active","Anurans",""
"187","Pond Heron","Ardeola grayii","Carnivore","Active","Crustaeceans",""
"188","Pond Heron","Ardeola grayii","Carnivore","Active","Worms",""
"189","Pond Heron","Ardeola grayii","Carnivore","Active","Insects",""
"190","Pond Heron","Ardeola grayii","Carnivore","Active","Small reptiles",""
"191","Alpine Swift","Apus melba","Insectivore","Active","Insects",""
"192","Alpine Swift","Apus melba","Insectivore","Active","Spiders",""
"193","Black Naped Oriole","Oriolus chinensis","Omnivore","Active","Fruits","Bird nestlings"
"194","Black Naped Oriole","Oriolus chinensis","Omnivore","Active","Insects","Bird nestlings"
"195","Black Naped Oriole","Oriolus chinensis","Omnivore","Active","Small vertebrates","Bird nestlings"
"196","Asian Fairy Bluebird","Irena puella","Frugivore","Browser","Fruits",""
"197","Asian Fairy Bluebird","Irena puella","Frugivore","Browser","Nectar",""
"198","Asian Fairy Bluebird","Irena puella","Frugivore","Browser","Insects",""
"199","Rufous Bellied Babler","Dumetia hyperythra","Insectivore","Active","Insects",""
"200","Rufous Bellied Babler","Dumetia hyperythra","Insectivore","Active","Nectar",""
"201","Blue Rock Pidgeon","Columba livia","Grainivore","Active","Seed",""
"202","Blue Rock Pidgeon","Columba livia","Grainivore","Active","Fruits",""
"203","Common Tailorbird","Orthotomus sutorius","Insectivore","Active","Insects",""
"204","Common Tailorbird","Orthotomus sutorius","Insectivore","Active","Nectar",""
"205","Scaly Breasted Munia","Lonchura punctulata","Grainivore","Grazer","Seeds",""
"206","Scaly Breasted Munia","Lonchura punctulata","Grainivore","Grazer","Plants",""
"207","Scaly Breasted Munia","Lonchura punctulata","Grainivore","Grazer","Insects",""
"208","Plum Headed Parakeet","Psittacula cyanocephala","Frugivore","Browser","Fruits",""
"209","Plum Headed Parakeet","Psittacula cyanocephala","Frugivore","Browser","Seeds",""
"210","Plum Headed Parakeet","Psittacula cyanocephala","Frugivore","Browser","Nectar",""
"211","Southern Coucal","Centropus sinensis","Omnivore","Active","Small mammals",""
"212","Southern Coucal","Centropus sinensis","Omnivore","Active","Small reptiles",""
"213","Southern Coucal","Centropus sinensis","Omnivore","Active","Anurans",""
"214","Southern Coucal","Centropus sinensis","Omnivore","Active","Insects",""
"215","Southern Coucal","Centropus sinensis","Omnivore","Active","Arthropods",""
"216","Southern Coucal","Centropus sinensis","Omnivore","Active","Spiders",""
"217","Southern Coucal","Centropus sinensis","Omnivore","Active","Scorpions",""
"218","Southern Coucal","Centropus sinensis","Omnivore","Active","Crustaeceans",""
"219","Southern Coucal","Centropus sinensis","Omnivore","Active","Molluscs",""
"220","Southern Coucal","Centropus sinensis","Omnivore","Active","Bird eggs",""
"221","Southern Coucal","Centropus sinensis","Omnivore","Active","Birds",""
"222","Southern Coucal","Centropus sinensis","Omnivore","Active","Fruits",""
"223","Southern Coucal","Centropus sinensis","Omnivore","Active","Seeds",""
"224","Jungle Bush Quail","Perdicula asiatica","Grainivore","Grazer","Seeds",""
"225","Jungle Bush Quail","Perdicula asiatica","Grainivore","Grazer","Insects",""
"226","Coppersmith Barbet","Psilopogon haemacephalus","Frugivore","Browser","Fruits",""
"227","Coppersmith Barbet","Psilopogon haemacephalus","Frugivore","Browser","Insects",""
"228","Black Bulbul","Hypsipetes leucocephalus","Frugivore","Browser","Fruits",""
"229","Black Bulbul","Hypsipetes leucocephalus","Frugivore","Browser","Nectar",""
"230","Black Bulbul","Hypsipetes leucocephalus","Frugivore","Browser","Insects",""
"231","Jungle Myna","Acridotheres fuscus","Omnivore","Active","Insects",""
"232","Jungle Myna","Acridotheres fuscus","Omnivore","Active","Fruits",""
"233","Jungle Myna","Acridotheres fuscus","Omnivore","Active","Seeds",""
"234","Jungle Myna","Acridotheres fuscus","Omnivore","Active","Nectar",""
"235","Spotted Babler","Pellorneum ruficeps","Insectivore","Active","Insects",""
"236","Rose finch","Carpodacus erythrinus","Frugivore","Browser","Seeds",""
"237","Rose finch","Carpodacus erythrinus","Frugivore","Browser","Fruits",""
"238","Rose finch","Carpodacus erythrinus","Frugivore","Browser","Plants",""
"239","Rose finch","Carpodacus erythrinus","Frugivore","Browser","Nectar",""
"240","Rose finch","Carpodacus erythrinus","Frugivore","Browser","Insects",""
"241","White Bellied Blue Flycatcher","Cyornis pallidipes","Insectivore","Active","Insects",""
"242","White Bellied Blue Flycatcher","Cyornis pallidipes","Insectivore","Active","Fruits",""
"243","Black Shouldered Kite","Elanus axillaris","Carnivore","Active","Small mammals",""
"244","Black Shouldered Kite","Elanus axillaris","Carnivore","Active","Birds",""
"245","Black Shouldered Kite","Elanus axillaris","Carnivore","Active","Small reptiles",""
"246","Black Shouldered Kite","Elanus axillaris","Carnivore","Active","Insects",""
"247","Oriental Magpie Robin","Copsychus saularis","Insectivore","Active","Insects",""
"248","Oriental Magpie Robin","Copsychus saularis","Insectivore","Active","Worms",""
"249","Oriental Magpie Robin","Copsychus saularis","Insectivore","Active","Molluscs",""
"250","Oriental Magpie Robin","Copsychus saularis","Insectivore","Active","Arthropods",""
"251","Oriental Magpie Robin","Copsychus saularis","Insectivore","Active","Crustaeceans",""
"252","Oriental Magpie Robin","Copsychus saularis","Insectivore","Active","Spiders",""
"253","Oriental Magpie Robin","Copsychus saularis","Insectivore","Active","Small reptiles",""
"254","Golden Fronted Leafbird","Chloropsis aurifrons","Omnivore","Active","Insects",""
"255","Golden Fronted Leafbird","Chloropsis aurifrons","Omnivore","Active","Fruits",""
"256","Golden Fronted Leafbird","Chloropsis aurifrons","Omnivore","Active","Nectar",""
"257","Red Whiskered Bubul","Pycnonotus jocosus","Omnivore","Active","Fruits",""
"258","Red Whiskered Bubul","Pycnonotus jocosus","Omnivore","Active","Nectar",""
"259","Red Whiskered Bubul","Pycnonotus jocosus","Omnivore","Active","InsectsSpiders",""
"260","Common Tailor Bird","Orthotomus sutorius","Insectivore","Active","Insects",""
"261","Common Tailor Bird","Orthotomus sutorius","Insectivore","Active","Nectar",""
"262","Red Spurfowl","Galloperdix spadicea","Frugivore","Browser","Seeds",""
"263","Red Spurfowl","Galloperdix spadicea","Frugivore","Browser","Fruits",""
"264","Yellow Throated Sparrow","Gymnoris xanthocollis","Grainivore","Grazer","Seeds",""
"265","Yellow Throated Sparrow","Gymnoris xanthocollis","Grainivore","Grazer","Fruits",""
"266","Yellow Throated Sparrow","Gymnoris xanthocollis","Grainivore","Grazer","Nectar",""
"267","Yellow Throated Sparrow","Gymnoris xanthocollis","Grainivore","Grazer","Insects ",""
"268","Oriental Trutle Dove","Streptopelia orientalis","Grainivore","Grazer","Seeds",""
"269","Oriental Trutle Dove","Streptopelia orientalis","Grainivore","Grazer","Herbs",""
"270","Oriental Trutle Dove","Streptopelia orientalis","Grainivore","Grazer","Plants",""
"271","Orange Minivet","Pericrocotus flammeus","Insectivore","Active","Insects",""
"272","Orange Minivet","Pericrocotus flammeus","Insectivore","Active","Spiders",""
"273","Little Egret","Egretta garzetta","Carnivore","Active","Insects",""
"274","Little Egret","Egretta garzetta","Carnivore","Active","Crustaeceans",""
"275","Little Egret","Egretta garzetta","Carnivore","Active","Fish",""
"276","Little Egret","Egretta garzetta","Carnivore","Active","Anurans",""
"277","Little Egret","Egretta garzetta","Carnivore","Active","Molluscs",""
"278","Little Egret","Egretta garzetta","Carnivore","Active","Spiders",""
"279","Little Egret","Egretta garzetta","Carnivore","Active","Worms",""
"280","Little Egret","Egretta garzetta","Carnivore","Active","Small Reptiles",""
"281","Little Egret","Egretta garzetta","Carnivore","Active","Birds",""
"282","Tree Pipit","Anthus trivialis","Insectivore","Active","Insects",""
"283","Crimson Backed Sunbird","Leptocoma minima","Insectivore","Active","Insects",""
"284","Crimson Backed Sunbird","Leptocoma minima","Insectivore","Active","Spiders",""
"285","Crimson Backed Sunbird","Leptocoma minima","Insectivore","Active","Nectar",""
"286","Orange Headed Ground Thrush","Geokichla citrina","Omnivore","Active","Insects",""
"287","Orange Headed Ground Thrush","Geokichla citrina","Omnivore","Active","Worms",""
"288","Orange Headed Ground Thrush","Geokichla citrina","Omnivore","Active","Molluscs",""
"289","Orange Headed Ground Thrush","Geokichla citrina","Omnivore","Active","Fruits",""
"290","Orange Headed Ground Thrush","Geokichla citrina","Omnivore","Active","Seeds",""
"291","Puff Throated Babler","Pellorneum ruficeps","Insectivore","Active","Insects",""
"292","Brown Cheeked Fulvetta","Alcippe poioicephala","Insectivore","Active","Insects",""
"293","Brown Cheeked Fulvetta","Alcippe poioicephala","Insectivore","Active","Nectar",""
"294","Malabar Whistling Thrush","Myophonus horsfieldii","Insectivore","Active","Insects","Aquatic"
"295","Malabar Whistling Thrush","Myophonus horsfieldii","Insectivore","Active","Molluscs","Aquatic"
"296","Malabar Whistling Thrush","Myophonus horsfieldii","Insectivore","Active","Crustaecenas","Aquatic"
"297","Blue Naped Monarch","Hypothymis azurea","Insectivore","Active","Insects",""
"298","Emerald Dove","Chalcophaps indica","Grainivore","Grazer","Seed",""
"299","Emerald Dove","Chalcophaps indica","Grainivore","Grazer","Fruits",""
"300","Emerald Dove","Chalcophaps indica","Grainivore","Grazer","Insects",""
"301","Golden Oriole","Oriolus kundoo","Omnivore","Active","Fruits",""
"302","Golden Oriole","Oriolus kundoo","Omnivore","Active","Nectar",""
"303","Golden Oriole","Oriolus kundoo","Omnivore","Active","Insects",""
"304","Golden Oriole","Oriolus kundoo","Omnivore","Active","Spiders",""
"305","Great Tit","Parus major","Omnivore","Active","Insects",""
"306","Great Tit","Parus major","Omnivore","Active","Seeds",""
"307","Great Tit","Parus major","Omnivore","Active","Arachnids",""
"308","Great Tit","Parus major","Omnivore","Active","Molluscs",""
"309","Great Tit","Parus major","Omnivore","Active","Crustaeceans",""
"310","Great Tit","Parus major","Omnivore","Active","Fruits",""
"311","Indian Grey Hornbill","Ocyceros birostris","Frugivore","Browser","Fruits",""
"312","Indian Grey Hornbill","Ocyceros birostris","Frugivore","Browser","Insects",""
"313","Indian Grey Hornbill","Ocyceros birostris","Frugivore","Browser","Small reptiles",""
"314","Indian Grey Hornbill","Ocyceros birostris","Frugivore","Browser","Small Mammals",""
"315","Sulphur Bellied Warbler","Phylloscopus griseolus","Insectivore","Active","Insects",""
"316","Sulphur Bellied Warbler","Phylloscopus griseolus","Insectivore","Active","Molluscs",""
"317","Tickle's Blue Flycatcher","Cyornis tickelliae","Insectivore","Active","Insects",""
"318","Bay Backed shrike","Lanius vittatus","Insectivore","Active","Insects",""
"319","Bay Backed shrike","Lanius vittatus","Insectivore","Active","Small reptiles",""
"320","Bay Backed shrike","Lanius vittatus","Insectivore","Active","Small Mammals",""
"321","Bay Backed shrike","Lanius vittatus","Insectivore","Active","Birds",""
"322","Nilgiri Wood Pidgeon","Columba elphinstonii","Frugivore","Browser","Fruits",""
"323","Nilgiri Wood Pidgeon","Columba elphinstonii","Frugivore","Browser","Molluscs",""
"324","Common Hawk Cuckoo","Hierococcyx varius","Omnivore","Active","Insects",""
"325","Common Hawk Cuckoo","Hierococcyx varius","Omnivore","Active","Fruits",""
"326","Common Hawk Cuckoo","Hierococcyx varius","Omnivore","Active","Small Reptiles",""
"327","Common Wood Shrike","Tephrodornis pondicerianus","Insectivore","Active","Insects",""
"328","Common Wood Shrike","Tephrodornis pondicerianus","Insectivore","Active","Spiders",""
"329","Common Wood Shrike","Tephrodornis pondicerianus","Insectivore","Active","Fruits",""
"330","Vigor's Sunbird","Aethopyga vigorsii","Frugivore","Browser","Nectar",""
"331","Vigor's Sunbird","Aethopyga vigorsii","Frugivore","Browser","Insects",""
"332","Vigor's Sunbird","Aethopyga vigorsii","Frugivore","Browser","Spiders",""
"333","White Rumped Shama","Copsychus malabaricus","Insectivore","Active","Insects",""
"334","White Rumped Shama","Copsychus malabaricus","Insectivore","Active","Worms",""
"335","White Rumped Shama","Copsychus malabaricus","Insectivore","Active","Fruits",""
"336","Malabar Lark","Galerida malabarica","Omnivore","Grazer","Seeds",""
"337","Malabar Lark","Galerida malabarica","Omnivore","Grazer","Insects",""
"338","LAughing Dove","Streptopelia senegalensis","Grainivore","Grazer","Seeds",""
"339","LAughing Dove","Streptopelia senegalensis","Grainivore","Grazer","Fruits",""
"340","LAughing Dove","Streptopelia senegalensis","Grainivore","Grazer","Nectar",""
"341","LAughing Dove","Streptopelia senegalensis","Grainivore","Grazer","Insects",""
"342","Black Headed Oriole","Oriolus xanthornus","Frugivore","Browser","Fruits",""
