Common Name,Family,Specific Epithet,Hostplant Family,Hostplant Name,Country,Source
Glassy Tiger,Nymphalidae,Parantica aglea,Asclepiadaceae,Tylophora ovata,Taiwan,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Myrtaceae,,Indo-Australian,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Sapindaceae,,Indo-Australian,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Combretaceae,,Indo-Australian,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Leguminosae,,Indo-Australian,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Leguminosae,,Oriental,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Leguminosae (m),Acacia,India,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Leguminosae (m),Acacia caesia,India,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Leguminosae (m),Acacia nilotica,Pakistan,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Leguminosae (m),Mimosa himalayana,Pakistan,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Rutaceae,Atalantia,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Rutaceae,Citrus,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Rutaceae,Citrus,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Rutaceae,Citrus,Oriental,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Rutaceae,Citrus,Sri Lanka,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Rutaceae,Citrus maxima,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Guttiferae,Garcinia xanthochymus,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Rubiaceae,Gardenia xanthochymus,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Rutaceae,Murraya koenigii,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Rutaceae,Paramignya andamanica,India,HOSTS
Blue Mormon,Papilionidae,Papilio polymnestor,Rutaceae,Paramignya monophylla,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Gramineae,,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Asclepiadaceae,Calotropis,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Asclepiadaceae,Calotropis,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Asclepiadaceae,Calotropis gigantea,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Asclepiadaceae,Calotropis procera,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Malvaceae,Hibiscus,India,HOSTS
Plain Tiger,Nymphalidae,Danaus chrysippus,Malvaceae,Hibiscus,India,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Dioscoreaceae,Dioscorea,Andaman Islands,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Dioscoreaceae,Dioscorea cirrhosa,Hong Kong,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Dioscoreaceae,Dioscorea cirrhosa,Hong Kong,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Dioscoreaceae,Dioscorea fordii,Hong Kong,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Dioscoreaceae,Dioscorea fordii,Hong Kong,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Dioscoreaceae,Dioscorea oppositifolia,India,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Dipterocarpaceae,Shorea roxburghii,India,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Smilacaceae,Smilax,India,HOSTS
Suffused Double Banded Judy,Lycaenidae,Abisara bifasciata,Myrsinaceae,Ardisia solanacea,Andaman Islands,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Bombacaceae,Bombax,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Leguminosae (p),Canavalia ensiformis,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tiliaceae,Corchorus,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Leguminosae (p),Flemingia,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tiliaceae,Grewia,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Sterculiaceae,Helicteres,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Euphorbiaceae,Hevea brasiliensis,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Leguminosae (p),Lathyrus,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Leguminosae (p),Mucuna,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Icacinaceae,Nothapodytes foetida,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Leguminosae (p),Paracalyx,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tiliaceae,Triumfetta,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Leguminosae (p),Vigna unguiculata,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Leguminosae (m),Xylia,India,HOSTS
Blue Oak Leaf,Nymphalidae,Kallima horsfieldi,Acanthaceae,Eranthemum malabaricum,India,HOSTS
Blue Oak Leaf,Nymphalidae,Kallima horsfieldi,Acanthaceae,Strobilanthes callosus,India,HOSTS
Common Five Ring,Nymphalidae,Ypthima ceylonica,Gramineae,,India,HOSTS
Common Five Ring,Nymphalidae,Ypthima ceylonica,Gramineae,,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae,,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Butea monosperma,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Butea monosperma,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Butea monosperma,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (c),Caesalpinia,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Cajanus cajan,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Cajanus cajan,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Crotalaria,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Crotalaria,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Crotalaria juncea,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Crotalaria pallida,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Crotalaria pallida,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Crotalaria saltiana,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Lablab purpureus,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Lablab purpureus,India,HOSTS
