Common.Name,Family,Specific.Epithet,Guild,Hostplant.Family,Hostplant.Name,Country,Source
Yellow Pansy,Nymphalidae,Junonia hierta,Herb Specialist,Acanthaceae,Hygrophila costata,India,HOSTS
Yellow Pansy,Nymphalidae,Junonia hierta,Herb Specialist,Acanthaceae,Justicia,India,HOSTS
Yellow Pansy,Nymphalidae,Junonia hierta,Herb Specialist,Acanthaceae,Ruellia,India,HOSTS
Lemon Pansy,Nymphalidae,Junonia lemonias,Herb Specialist,Tiliaceae,Corchorus,India,HOSTS
Lemon Pansy,Nymphalidae,Junonia lemonias,Herb Specialist,Acanthaceae,Hygrophila costata,India,HOSTS
Lemon Pansy,Nymphalidae,Junonia lemonias,Herb Specialist,Acanthaceae,Nelsonia canescens,India,HOSTS
Lemon Pansy,Nymphalidae,Junonia lemonias,Herb Specialist,Malvaceae,Sida rhombifolia,India,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Capparis,India,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Capparis formosana,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Capparis heydeana,India,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Capparis heydeana,West Malaysia,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Capparis lanceolaris,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Capparis obovata,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Capparis sikkimensis,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Capparis spinosa,India,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Capparis tomentosa,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Capparis zeylanica,Philippines,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Cleome gynandra,Taiwan,HOSTS
